condition,symptoms
diaper rash,"nasal congestion,vomiting,diarrhea,pulling at ears,skin rash,diaper rash"
lymphadenitis,"cough,skin swelling,sharp abdominal pain,neck pain,neck mass,ear pain,fever"
melanoma,"skin swelling,skin lesion,skin growth,irregular appearing scalp,skin moles,itchy eyelid"
threatened pregnancy,"sharp abdominal pain,vaginal discharge,intermenstrual bleeding,problems during pregnancy,spotting or bleeding during pregnancy"
multiple sclerosis,"abnormal involuntary movements,loss of sensation,focal weakness,disturbance of memory,paresthesia"
benign vaginal discharge (leukorrhea),"suprapubic pain,sharp abdominal pain,painful urination,vaginal discharge,pain during pregnancy,burning abdominal pain,vaginal redness"
glaucoma,"symptoms of eye,pain in eye,foreign body sensation in eye,lacrimation,itchiness of eye,itchy eyelid"
cystitis,"suprapubic pain,sharp abdominal pain,painful urination,involuntary urination,frequent urination,lower abdominal pain,pelvic pain,side pain"
hyperemesis gravidarum,"dizziness,sharp abdominal pain,headache,pain during pregnancy,weakness,problems during pregnancy"
bell palsy,"diminished vision,weakness,focal weakness"
diabetic ketoacidosis,"diarrhea,frequent urination,weakness"
asperger syndrome,"depressive or psychotic symptoms,lack of growth,fainting,excessive anger,antisocial behavior"
drug abuse,"anxiety and nervousness,depressive or psychotic symptoms,hostile behavior,drug abuse,smoking problems,sweating,antisocial behavior"
chronic obstructive pulmonary disease (copd),"sore throat,nasal congestion,fever,coughing up sputum,congestion in chest"
teething syndrome,"cough,nasal congestion,symptoms of infants,ear pain,decreased appetite,fever,redness in ear"
inguinal hernia,"groin mass,mass in scrotum,ache all over"
injury to the leg,"leg pain,problems with movement,foot or toe swelling,infant feeding problem,ankle swelling"
conjunctivitis due to allergy,"cough,nasal congestion,symptoms of eye,pain in eye,lacrimation"
acute bronchitis,"sore throat,nasal congestion,headache,fever,difficulty breathing,coughing up sputum"
pneumonia,"sharp chest pain,cough,weakness,fever"
hiatal hernia,"sharp abdominal pain,regurgitation,upper abdominal pain,regurgitation.1"
brachial neuritis,"hand or finger pain,arm pain,back pain,low back pain,elbow pain,paresthesia,shoulder pain"
noninfectious gastroenteritis,"blood in stool,sharp abdominal pain,headache,diarrhea,burning abdominal pain,rectal bleeding"
hyponatremia,"shortness of breath,fainting,vomiting,nausea,back pain,seizures"
chronic otitis media,"cough,nasal congestion,ear pain,plugged feeling in ear,fever,redness in ear"
spontaneous abortion,"sharp abdominal pain,lower abdominal pain,pain during pregnancy,pelvic pain,burning abdominal pain,problems during pregnancy,spotting or bleeding during pregnancy,cramps and spasms,blood clots during menstrual periods"
pilonidal cyst,"irregular appearing scalp,pelvic pain,bones are painful,ache all over"
idiopathic painful menstruation,"pelvic pain,blood clots during menstrual periods,heavy menstrual flow,painful menstruation"
pelvic organ prolapse,"retention of urine,vaginal discharge,blood in urine,intermenstrual bleeding"
hyperemesis gravidarum,"dizziness,sharp abdominal pain,vomiting,headache,pain during pregnancy,vomiting blood,burning abdominal pain,weakness,problems during pregnancy"
gout,"foot or toe pain,knee swelling,foot or toe swelling,ankle swelling"
labyrinthitis,"diminished hearing,ear pain,plugged feeling in ear,loss of sensation"
idiopathic painful menstruation,"sharp abdominal pain,lower abdominal pain,vaginal discharge,pelvic pain,cramps and spasms,blood clots during menstrual periods,heavy menstrual flow,painful menstruation"
testicular torsion,"emotional symptoms,symptoms of the scrotum and testes,sharp abdominal pain,back pain"
intertrigo (skin condition),"skin swelling,abnormal appearing skin,skin lesion,acne or pimples,skin rash"
carpal tunnel syndrome,"wrist pain,arm pain,wrist swelling,neck pain,elbow pain,paresthesia"
alcohol intoxication,"anxiety and nervousness,sharp chest pain,abnormal involuntary movements,abusing alcohol,problems with movement"
benign kidney cyst,"sharp abdominal pain,involuntary urination,impotence"
meningitis,"cough,nausea,neck pain,ache all over"
gastrointestinal hemorrhage,"sharp abdominal pain,vomiting,diarrhea,vomiting blood,changes in stool appearance,melena"
gout,"wrist pain,hand or finger swelling,wrist swelling,foot or toe pain,foot or toe swelling,joint pain"
obstructive sleep apnea (osa),"insomnia,difficulty in swallowing,mouth dryness,fatigue,sleepiness"
neonatal jaundice,"lack of growth,irritable infant,infant feeding problem"
postpartum depression,"intermenstrual bleeding,pain during pregnancy,problems during pregnancy,delusions or hallucinations"
ear drum damage,"cough,nasal congestion,pus draining from ear,ear pain,ringing in ear,redness in ear"
hyponatremia,"sharp abdominal pain,vomiting,nausea,weakness,seizures"
cholecystitis,"sharp abdominal pain,vomiting,back pain,side pain,lower body pain,stomach bloating"
stye,"skin swelling,symptoms of eye,eye burns or stings,mass on eyelid,eyelid lesion or rash"
hypothyroidism,"hot flashes,wrist swelling,fatigue,too little hair"
infectious gastroenteritis,"sharp abdominal pain,vomiting,nausea,burning abdominal pain,fever,fluid retention,flu-like syndrome"
epididymitis,"retention of urine,pain in testicles,mass in scrotum,sharp abdominal pain,painful urination"
oral thrush (yeast infection),"fever,constipation,skin rash"
pneumonia,"shortness of breath,cough,nasal congestion,vomiting,wheezing,weakness,fever,chills"
fungal infection of the hair,"abnormal appearing skin,acne or pimples,skin growth,pelvic pain,itching of skin,skin dryness, peeling, scaliness, or roughness,itchy scalp,skin rash"
panic disorder,"depressive or psychotic symptoms,chest tightness,breathing fast"
paronychia,"hand or finger pain,hand or finger swelling,abnormal appearing skin,foot or toe pain,skin on leg or foot looks infected,sinus congestion,skin on arm or hand looks infected"
hemangioma,"lip swelling,abnormal appearing skin,skin lesion,skin growth,irregular appearing scalp,skin dryness, peeling, scaliness, or roughness"
hemangioma,"lip swelling,abnormal appearing skin,skin lesion,irregular appearing scalp,irregular appearing nails"
multiple myeloma,"lip swelling,problems with movement"
gastroduodenal ulcer,"blood in stool,vomiting,vomiting blood,burning abdominal pain,upper abdominal pain,changes in stool appearance"
sensorineural hearing loss,"dizziness,hoarse voice,nasal congestion,diminished hearing,throat feels tight,ear pain,itchy ear(s),fluid in ear"
acute bronchospasm,"shortness of breath,sharp chest pain,sore throat,cough,vomiting,wheezing,difficulty breathing,coryza"
central retinal artery or vein occlusion,"diminished vision,pain in eye,foreign body sensation in eye,blindness"
appendicitis,"sharp abdominal pain,vomiting,diarrhea,decreased appetite,side pain,fever"
contact dermatitis,"skin swelling,skin lesion,skin moles,swollen eye,itching of skin,skin irritation,skin rash"
diverticulitis,"diarrhea,lower abdominal pain,side pain,fever,constipation"
acute pancreatitis,"abusing alcohol,vomiting,back pain,side pain,upper abdominal pain,hemoptysis"
breast cancer,"pain or soreness of breast,lump or mass of breast"
pleural effusion,"sharp chest pain,sharp abdominal pain,back pain,hurts to breath"
hyperemesis gravidarum,"burning abdominal pain,weakness,problems during pregnancy"
hyponatremia,"shortness of breath,fainting,sharp abdominal pain,nausea,back pain,weakness"
sepsis,"shortness of breath,suprapubic pain,feeling ill,vomiting,weakness,chills"
autism,"difficulty speaking,seizures,constipation,temper problems,long menstrual periods,antisocial behavior"
intracranial hemorrhage,"depressive or psychotic symptoms,abnormal involuntary movements,difficulty speaking,headache,diminished vision"
lipoma,"abnormal appearing skin,skin lesion,skin growth,bones are painful,back mass or lump,shoulder lump or mass,arm lump or mass"
ear wax impaction,"nasal congestion,diminished hearing,ringing in ear,pulling at ears,sinus congestion"
cystitis,"retention of urine,suprapubic pain,blood in urine"
folate deficiency,"sharp chest pain,sharp abdominal pain,vomiting blood"
schizophrenia,"anxiety and nervousness,depressive or psychotic symptoms,insomnia,delusions or hallucinations,temper problems,hysterical behavior"
adjustment reaction,"anxiety and nervousness,depression,insomnia,hostile behavior,excessive anger,delusions or hallucinations,fears and phobias"
sprain or strain,"leg pain,wrist pain,arm pain,back pain,knee pain,shoulder pain"
sickle cell anemia,"leg pain,dry lips,fever,joint pain,temper problems,pulling at ears"
conjunctivitis,"sore throat,white discharge from eye,lacrimation,itchiness of eye,swollen eye"
bipolar disorder,"insomnia,abusing alcohol,excessive anger,delusions or hallucinations"
obstructive sleep apnea (osa),"insomnia,abnormal involuntary movements,mouth dryness,fatigue,sweating"
hypoglycemia,"dizziness,abnormal involuntary movements,fainting,feeling ill,sleepiness"
ovarian torsion,"skin swelling,groin mass,sharp abdominal pain,lower abdominal pain,pelvic pain"
hemangioma,"skin swelling,lip swelling,abnormal appearing skin,irregular appearing scalp,skin moles,lymphedema,skin dryness, peeling, scaliness, or roughness"
acute kidney injury,"sharp chest pain,dizziness,retention of urine,sharp abdominal pain,vomiting,peripheral edema"
somatization disorder,"anxiety and nervousness,fainting"
paroxysmal ventricular tachycardia,"shortness of breath,sharp chest pain,dizziness,irregular heartbeat,fainting,weight gain,decreased heart rate"
diverticulosis,"blood in stool,sharp abdominal pain,vomiting,nausea,diarrhea,lower abdominal pain,melena"
hyperemesis gravidarum,"dizziness,vomiting,headache,nausea,vomiting blood,weakness,problems during pregnancy"
inguinal hernia,"groin mass,symptoms of the scrotum and testes,swelling of scrotum,pain in testicles,mass in scrotum,ache all over"
contact dermatitis,"skin swelling,skin moles,allergic reaction,skin irritation,skin rash"
contact dermatitis,"abnormal appearing skin,skin lesion,acne or pimples,skin moles,itching of skin,skin irritation"
pulmonary hypertension,"shortness of breath,palpitations,cough,feeling ill,apnea"
hemiplegia,"abnormal involuntary movements,difficulty speaking,problems with movement,weakness,slurring words,seizures"
mucositis,"difficulty in swallowing,irritable infant,mouth ulcer,tongue lesions,mouth pain"
fracture of the rib,"shortness of breath,bones are painful,side pain,shoulder pain,ache all over,back mass or lump,hurts to breath"
cardiomyopathy,"shortness of breath,sharp chest pain,peripheral edema,heartburn,decreased heart rate"
conduct disorder,"depression,lack of growth,hostile behavior,excessive anger,hysterical behavior"
hemangioma,"lip swelling,abnormal appearing skin,skin lesion,skin growth,irregular appearing scalp,skin moles,lymphedema,irregular appearing nails,skin dryness, peeling, scaliness, or roughness"
hypovolemia,"fainting,sharp abdominal pain,feeling ill,vomiting,nausea,diarrhea,decreased appetite"
obstructive sleep apnea (osa),"abnormal involuntary movements,mouth dryness,difficulty breathing,fatigue"
spinal stenosis,"leg pain,hip pain,low back pain,problems with movement,loss of sensation,paresthesia,lower body pain"
neuralgia,"hip pain,headache,arm pain,neck pain,shoulder pain,ache all over"
pilonidal cyst,"skin growth,pain of the anus,pelvic pain,ache all over,lower body pain"
ankylosing spondylitis,"leg pain,elbow pain,paresthesia,stiffness all over"
mononeuritis,"leg pain,hand or finger pain,wrist pain,arm pain,foot or toe pain,loss of sensation,shoulder pain"
psoriasis,"joint pain,itching of skin,itchy scalp"
ingrown toe nail,"neck swelling,skin dryness, peeling, scaliness, or roughness,skin on arm or hand looks infected"
pneumonia,"shortness of breath,sharp chest pain,cough,nasal congestion,vomiting,wheezing,weakness,fever,difficulty breathing,chills"
cardiac arrest,"palpitations,irregular heartbeat,arm swelling,decreased heart rate,difficulty breathing"
allergy,"peripheral edema,itchiness of eye,fluid retention,swollen eye,itching of skin"
de quervain disease,"abnormal involuntary movements,wrist pain,hand or finger swelling,shoulder pain"
skin cancer,"skin swelling,lip swelling,skin growth,irregular appearing scalp,skin moles,skin irritation,warts"
pterygium,"diminished vision,symptoms of eye,foreign body sensation in eye,spots or clouds in vision,lacrimation"
heart failure,"shortness of breath,sharp chest pain,chest tightness,palpitations,cough,weakness,difficulty breathing,fluid retention"
iridocyclitis,"diminished vision,symptoms of eye,foreign body sensation in eye,eye redness,lacrimation,eye burns or stings,cloudy eye"
peritonitis,"shortness of breath,groin mass,intermenstrual bleeding"
smoking or tobacco addiction,"shortness of breath,headache,smoking problems,excessive anger,coughing up sputum,hemoptysis,hurts to breath"
osteoarthritis,"back pain,knee pain,ankle pain,knee weakness,elbow pain,knee swelling,joint pain"
anxiety,"depression,depressive or psychotic symptoms,palpitations,irregular heartbeat,headache,increased heart rate"
iron deficiency anemia,"intermenstrual bleeding,regurgitation,weight gain,fatigue,regurgitation.1,heavy menstrual flow"
herniated disk,"leg pain,arm pain,back pain,low back pain,paresthesia,arm weakness,leg weakness"
herniated disk,"arm pain,back pain,low back pain,loss of sensation,paresthesia,shoulder pain,arm weakness,leg weakness"
injury to the shoulder,"arm stiffness or tightness,back pain,bones are painful,shoulder pain,shoulder stiffness or tightness,muscle cramps, contractures, or spasms"
fracture of the rib,"shortness of breath,sharp chest pain,hip pain,side pain,shoulder pain,back mass or lump"
pulmonary eosinophilia,"sharp chest pain,dizziness,paresthesia"
breast cyst,"vaginal dryness,skin growth,pain or soreness of breast,lump or mass of breast"
orbital cellulitis,"diminished hearing,pain in eye,peripheral edema,eye redness"
oral thrush (yeast infection),"sore throat,nasal congestion,mouth ulcer,tongue lesions,constipation,mouth pain"
multiple sclerosis,"dizziness,abnormal involuntary movements,headache,loss of sensation,focal weakness,paresthesia,leg weakness"
tendinitis,"hip pain,wrist pain,arm pain,foot or toe pain,ankle pain"
trigeminal neuralgia,"dizziness,headache,toothache,facial pain,pain in eye,symptoms of the face"
benign prostatic hyperplasia (bph),"retention of urine,pain in testicles,involuntary urination,frequent urination,blood in urine,symptoms of prostate,excessive urination at night,symptoms of bladder,low urine output"
strep throat,"nasal congestion,difficulty in swallowing,headache,decreased appetite,fever,ache all over,chills"
impulse control disorder,"anxiety and nervousness,depression,depressive or psychotic symptoms,insomnia,excessive appetite,delusions or hallucinations"
pyloric stenosis,"cough,arm stiffness or tightness"
urinary tract obstruction,"suprapubic pain,sharp abdominal pain,painful urination,frequent urination,symptoms of prostate,excessive urination at night"
intestinal obstruction,"sharp abdominal pain,nausea,vaginal itching,pain of the anus,burning abdominal pain,stomach bloating,constipation"
tietze syndrome,"chest tightness,nausea,difficulty breathing,rib pain"
heart failure,"sharp chest pain,chest tightness,cough,fluid retention"
blepharitis,"diminished vision,symptoms of eye,spots or clouds in vision,itchiness of eye,swollen eye"
subconjunctival hemorrhage,"headache,diminished vision,pain in eye,eye redness,bleeding from eye"
peripheral arterial disease,"leg pain,foot or toe pain,leg cramps or spasms,poor circulation"
tooth disorder,"headache,peripheral edema,ear pain,gum pain,bleeding gums"
idiopathic irregular menstrual cycle,"lower abdominal pain,intermenstrual bleeding,pelvic pain,cramps and spasms,unpredictable menstruation,painful menstruation"
diabetic retinopathy,"diminished vision,symptoms of eye,abnormal movement of eyelid,foreign body sensation in eye,spots or clouds in vision,itchiness of eye"
complex regional pain syndrome,"leg pain,hand or finger pain,low back pain,paresthesia"
breast infection (mastitis),"skin growth,bleeding or discharge from nipple,pain or soreness of breast"
pleural effusion,"shortness of breath,cough,sharp abdominal pain,back pain,side pain,rib pain,hurts to breath"
idiopathic excessive menstruation,"intermenstrual bleeding,painful menstruation"
croup,"hoarse voice,nasal congestion,fever,abnormal breathing sounds,pulling at ears"
poisoning due to sedatives,"depression,insomnia,hostile behavior,sleepiness"
tension headache,"nausea,neck stiffness or tightness,chills,back cramps or spasms"
sickle cell crisis,"sharp chest pain,leg pain,sharp abdominal pain,vomiting,arm pain,low back pain"
arthritis of the hip,"low back pain,pelvic pain,groin pain,hip stiffness or tightness"
spinal stenosis,"hip pain,back pain,neck pain,problems with movement,lower body pain"
heart attack,"chest tightness,irregular heartbeat,heartburn,sweating"
paroxysmal ventricular tachycardia,"sharp chest pain,fainting,decreased heart rate,fatigue"
injury to the leg,"leg pain,knee pain,knee swelling,problems with movement,knee stiffness or tightness,ankle swelling"
acute bronchospasm,"chest tightness,nasal congestion,vomiting,wheezing,fever"
heart attack,"sharp chest pain,irregular heartbeat,heartburn,burning chest pain,sweating"
pulmonary hypertension,"palpitations,feeling ill,fatigue,hemoptysis,apnea"
sensorineural hearing loss,"dizziness,diminished hearing,throat feels tight,ringing in ear,plugged feeling in ear,fluid in ear"
sprain or strain,"leg pain,arm pain,neck pain,low back pain,knee pain,foot or toe pain,ankle pain"
gastrointestinal hemorrhage,"dizziness,fainting,sharp abdominal pain,vomiting,nausea,diarrhea,changes in stool appearance,melena"
threatened pregnancy,"sharp abdominal pain,lower abdominal pain,vaginal discharge,pelvic pain,problems during pregnancy,cramps and spasms"
subconjunctival hemorrhage,"headache,facial pain,symptoms of eye,foreign body sensation in eye,eye redness,bleeding from eye"
allergy,"cough,skin swelling,lip swelling,abnormal appearing skin,peripheral edema,allergic reaction,swollen eye,skin rash"
erectile dysfunction,"retention of urine,involuntary urination,frequent urination,blood in urine,impotence"
skin disorder,"skin swelling,abnormal appearing skin,skin lesion,acne or pimples,itching of skin,skin dryness, peeling, scaliness, or roughness"
itching of unknown cause,"skin dryness, peeling, scaliness, or roughness,skin rash"
postoperative infection,"skin swelling,abnormal appearing skin,jaw swelling,skin on leg or foot looks infected"
lipoma,"abnormal appearing skin,skin lesion,neck mass,bones are painful,back mass or lump,shoulder lump or mass"
drug poisoning due to medication,"depressive or psychotic symptoms,lip swelling,slurring words,sleepiness"
otitis externa (swimmer's ear),"sore throat,cough,ear pain,ringing in ear,itchy ear(s),fever"
cranial nerve palsy,"facial pain,double vision,abnormal movement of eyelid"
tendinitis,"hand or finger pain,wrist pain,foot or toe pain"
ankylosing spondylitis,"hip pain,low back pain,elbow pain,paresthesia,lower body pain"
foreign body in the throat,"sore throat,cough,throat swelling,vomiting,infant spitting up"
corneal abrasion,"diminished vision,symptoms of eye,pain in eye,foreign body sensation in eye,eye redness,lacrimation,itchiness of eye"
conjunctivitis due to allergy,"cough,diminished vision,eye redness,lacrimation,itchiness of eye,allergic reaction,swollen eye,sneezing"
corneal disorder,"diminished vision,spots or clouds in vision,eye redness"
conjunctivitis due to bacteria,"sore throat,cough,nasal congestion,abnormal appearing skin,eye redness,fever"
fracture of the rib,"shortness of breath,back pain,bones are painful,side pain,ache all over,back mass or lump,hurts to breath"
crohn disease,"sharp abdominal pain,vomiting,nausea,diarrhea,pain of the anus,burning abdominal pain,rectal bleeding"
threatened pregnancy,"lower abdominal pain,vaginal discharge,problems during pregnancy,spotting or bleeding during pregnancy,uterine contractions"
pain after an operation,"sharp chest pain,leg pain,vomiting,lower abdominal pain,back pain"
genital herpes,"suprapubic pain,vaginal itching,skin lesion,recent pregnancy,skin rash"
muscle spasm,"leg pain,headache,arm pain,loss of sensation,muscle cramps, contractures, or spasms"
appendicitis,"sharp abdominal pain,burning abdominal pain,decreased appetite,fever,stomach bloating"
pyogenic skin infection,"leg pain,skin lesion,leg swelling,foot or toe swelling,skin rash"
alopecia,"feeling ill,acne or pimples,itching of skin,skin rash"
skin disorder,"skin swelling,abnormal appearing skin,acne or pimples,irregular appearing scalp,skin dryness, peeling, scaliness, or roughness"
cholesteatoma,"nasal congestion,diminished hearing,pus draining from ear"
